purchase_date,total_price,promo_name,sales_after_promo,status_promo
2022-07-01,9998000,GRATIS_ONGKIR,9993000,Dengan Promo
2022-07-01,144000,GRATIS_ONGKIR,139000,Dengan Promo
2022-07-01,315000,AWAL_GAJIAN,300000,Dengan Promo
2022-07-01,154440,GRATIS_ONGKIR,149440,Dengan Promo
2022-07-01,1500000,GRATIS_ONGKIR,1495000,Dengan Promo
2022-07-01,79900,,79900,Tanpa Promo
2022-07-01,1670,,1670,Tanpa Promo
2022-07-01,387810,AWAL_GAJIAN,372810,Dengan Promo
2022-07-01,185000,,185000,Tanpa Promo
2022-07-01,100029,AWAL_GAJIAN,85029,Dengan Promo
2022-07-01,17400,,17400,Tanpa Promo
2022-07-01,189000,,189000,Tanpa Promo
2022-07-01,550000,,550000,Tanpa Promo
2022-07-01,1500000,AWAL_GAJIAN,1485000,Dengan Promo
2022-07-01,3380,,3380,Tanpa Promo
2022-07-01,104000,GRATIS_ONGKIR,99000,Dengan Promo
2022-07-01,14997000,AWAL_GAJIAN,14982000,Dengan Promo
2022-07-01,231000,AWAL_GAJIAN,216000,Dengan Promo
2022-07-01,267000,,267000,Tanpa Promo
2022-07-01,98750,,98750,Tanpa Promo
2022-07-01,8760000,,8760000,Tanpa Promo
2022-07-01,159000,GRATIS_ONGKIR,154000,Dengan Promo
2022-07-01,110000,GRATIS_ONGKIR,105000,Dengan Promo
2022-07-01,145000,AWAL_GAJIAN,130000,Dengan Promo
2022-07-01,192000,AWAL_GAJIAN,177000,Dengan Promo
2022-07-01,198000,,198000,Tanpa Promo
2022-07-02,229000,,229000,Tanpa Promo
2022-07-02,24250,,24250,Tanpa Promo
2022-07-02,420000,GRATIS_ONGKIR,415000,Dengan Promo
2022-07-02,38000,GRATIS_ONGKIR,33000,Dengan Promo
2022-07-02,88920,,88920,Tanpa Promo
2022-07-02,199000,GRATIS_ONGKIR,194000,Dengan Promo
2022-07-02,36800,,36800,Tanpa Promo
2022-07-02,46400,GRATIS_ONGKIR,41400,Dengan Promo
2022-07-02,239700,GRATIS_ONGKIR,234700,Dengan Promo
2022-07-02,88000,,88000,Tanpa Promo
2022-07-02,101000,,101000,Tanpa Promo
2022-07-02,168300,,168300,Tanpa Promo
2022-07-02,187200,GRATIS_ONGKIR,182200,Dengan Promo
2022-07-02,338000,GRATIS_ONGKIR,333000,Dengan Promo
2022-07-02,39000,GRATIS_ONGKIR,34000,Dengan Promo
2022-07-02,25866,,25866,Tanpa Promo
2022-07-02,69000,GRATIS_ONGKIR,64000,Dengan Promo
2022-07-02,114000,,114000,Tanpa Promo
2022-07-02,119900,,119900,Tanpa Promo
2022-07-02,27600,GRATIS_ONGKIR,22600,Dengan Promo
2022-07-02,194000,,194000,Tanpa Promo
2022-07-02,215100,,215100,Tanpa Promo
2022-07-03,19500,,19500,Tanpa Promo
2022-07-03,202710,,202710,Tanpa Promo
2022-07-03,90000,,90000,Tanpa Promo
2022-07-03,465000,GRATIS_ONGKIR,460000,Dengan Promo
2022-07-03,1670,GRATIS_ONGKIR,-3330,Dengan Promo
2022-07-03,278000,,278000,Tanpa Promo
2022-07-03,66900,,66900,Tanpa Promo
2022-07-03,60000,,60000,Tanpa Promo
2022-07-03,37990,GRATIS_ONGKIR,32990,Dengan Promo
2022-07-03,228000,GRATIS_ONGKIR,223000,Dengan Promo
2022-07-03,490000,GRATIS_ONGKIR,485000,Dengan Promo
2022-07-03,825000,,825000,Tanpa Promo
